step,epoch,loss,eta
24800,22,0.019310,12.15
24850,22,0.003545,10.39
24900,22,0.010846,8.64
24950,22,0.005472,6.88
25000,22,0.023372,5.13
25050,22,0.005479,3.37
25100,22,0.001998,1.62
25150,23,0.001283,38.78
25200,23,0.005453,38.16
25250,23,0.023762,36.44
25300,23,0.001593,34.72
25350,23,0.009798,32.97
25400,23,0.023387,31.22
25450,23,0.020303,29.46
25500,23,0.007614,27.71
25550,23,0.021688,25.95
25600,23,0.002697,24.20
25650,23,0.034178,22.53
25700,23,0.014795,20.76
25750,23,0.026561,18.99
25800,23,0.008651,17.22
25850,23,0.029976,15.45
25900,23,0.030409,13.69
25950,23,0.007150,11.93
26000,23,0.018450,10.17
26050,23,0.029273,8.41
26100,23,0.002504,6.65
26150,23,0.004455,4.89
26200,23,0.175728,3.13
26250,23,0.003158,1.37
26300,24,0.012813,39.26
26350,24,0.009638,37.92
26400,24,0.019949,36.23
26450,24,0.004662,34.50
26500,24,0.002806,32.74
26550,24,0.003783,30.98
26600,24,0.002633,29.23
26650,24,0.019325,27.49
26700,24,0.000972,25.73
26750,24,0.064073,23.98
26800,24,0.001138,22.22
26850,24,0.016241,20.46
26900,24,0.007754,18.70
26950,24,0.029644,16.94
27000,24,0.028797,15.19
27050,24,0.001392,13.43
27100,24,0.003205,11.67
27150,24,0.004999,9.91
27200,24,0.048821,8.15
27250,24,0.014406,6.40
27300,24,0.009590,4.64
27350,24,0.016996,2.88
27400,24,0.033744,1.12
27450,25,0.005819,39.16
27500,25,0.006873,37.72
27550,25,0.018984,36.02
27600,25,0.001891,34.28
27650,25,0.013189,32.51
27700,25,0.000855,30.75
27750,25,0.023471,29.02
27800,25,0.004005,27.29
27850,25,0.023114,25.53
27900,25,0.035823,23.77
27950,25,0.004651,22.00
28000,25,0.000828,20.24
28050,25,0.006463,18.48
28100,25,0.006222,16.72
28150,25,0.005185,14.96
28200,25,0.036667,13.20
28250,25,0.005567,11.44
28300,25,0.006764,9.68
28350,25,0.075681,7.92
28400,25,0.012577,6.16
28450,25,0.006596,4.40
28500,25,0.025521,2.64
28550,25,0.024782,0.88
28600,26,0.004658,38.95
28650,26,0.001790,37.45
28700,26,0.005381,35.78
28750,26,0.001831,34.05
28800,26,0.004709,32.29
28850,26,0.022653,30.52
28900,26,0.001525,28.76
28950,26,0.003560,27.00
29000,26,0.035186,25.24
29050,26,0.010862,23.48
29100,26,0.003134,21.72
29150,26,0.022028,19.97
29200,26,0.001633,18.22
29250,26,0.000857,16.46
29300,26,0.004686,14.70
29350,26,0.011312,12.94
29400,26,0.024844,11.18
29450,26,0.008929,9.42
29500,26,0.004603,7.66
29550,26,0.001367,5.91
29600,26,0.026662,4.15
29650,26,0.009212,2.39
29700,26,0.007071,0.63
29750,27,0.001675,38.73
29800,27,0.024733,37.17
29850,27,0.010661,35.47
29900,27,0.016093,33.73
29950,27,0.004641,31.99
30000,27,0.005785,30.24
30050,27,0.001618,28.49
30100,27,0.002309,26.73
30150,27,0.005304,24.98
30200,27,0.003143,23.22
30250,27,0.003454,21.47
30300,27,0.001098,19.74
30350,27,0.002171,17.98
30400,27,0.026535,16.22
30450,27,0.001369,14.46
30500,27,0.005871,12.70
30550,27,0.022888,10.94
30600,27,0.001064,9.18
30650,27,0.015334,7.42
30700,27,0.025116,5.66
30750,27,0.001459,3.90
30800,27,0.043578,2.15
30850,27,0.013127,0.39
30900,28,0.001925,38.49
30950,28,0.001186,36.91
31000,28,0.008778,35.21
31050,28,0.082251,33.48
31100,28,0.002699,31.73
31150,28,0.012271,29.98
31200,28,0.008632,28.23
31250,28,0.011798,26.48
31300,28,0.019763,24.74
31350,28,0.003582,22.99
31400,28,0.025021,21.23
31450,28,0.022072,19.47
31500,28,0.034629,17.73
31550,28,0.009415,15.99
31600,28,0.023820,14.24
31650,28,0.003297,12.49
31700,28,0.008976,10.72
31750,28,0.010216,8.96
31800,28,0.007003,7.19
31850,28,0.005810,5.43
31900,28,0.005463,3.67
31950,28,0.001377,1.90
32000,28,0.002689,0.14
32050,29,0.015873,38.29
32100,29,0.007639,36.68
32150,29,0.028228,34.96
32200,29,0.001822,33.23
32250,29,0.001279,31.49
32300,29,0.016842,29.74
32350,29,0.026893,27.99
32400,29,0.015273,26.24
32450,29,0.010345,24.48
32500,29,0.001924,22.73
32550,29,0.002798,20.97
32600,29,0.004330,19.22
32650,29,0.008019,17.46
32700,29,0.005910,15.71
32750,29,0.002858,13.95
32800,29,0.041135,12.20
32850,29,0.026636,10.44
32900,29,0.003886,8.68
32950,29,0.034489,6.92
33000,29,0.024524,5.17
33050,29,0.013086,3.41
33100,29,0.003772,1.66
33150,30,0.016269,39.40
33200,30,0.001338,38.89
33250,30,0.026452,36.87
33300,30,0.006178,34.98
